second,Volt,Ampere,Volt
+250.0E-06,+1.4472362E+00,+197.2299E-03,-311.8720E-03
+260.0E-06,+1.4037683E+00,+211.1369E-03,-311.8720E-03
+270.0E-06,+1.4472362E+00,+204.4607E-03,-311.8720E-03
+280.0E-06,+1.4517946E+00,+201.2500E-03,-311.8720E-03
+290.0E-06,+1.5023335E+00,+201.2500E-03,+763.5788E-03
+300.0E-06,+1.5736892E+00,+197.2299E-03,+2.9900859E+00
+310.0E-06,+1.6080402E+00,+205.9503E-03,+3.1052135E+00
+320.0E-06,+1.6080402E+00,+205.2701E-03,-495.0230E-03
+330.0E-06,+1.6605543E+00,+202.6444E-03,-311.8720E-03
+340.0E-06,+1.6884422E+00,+199.6616E-03,-311.8720E-03
+350.0E-06,+1.6994637E+00,+201.2500E-03,-311.8720E-03
+360.0E-06,+1.7688442E+00,+209.2902E-03,-311.8720E-03
+370.0E-06,+1.7993152E+00,+205.2701E-03,-311.8720E-03
+380.0E-06,+1.8492462E+00,+201.2500E-03,-311.8720E-03
+390.0E-06,+1.9212098E+00,+201.2500E-03,-311.8720E-03
+400.0E-06,+1.8615541E+00,+197.2299E-03,+3.1052135E+00
+410.0E-06,+1.9769960E+00,+207.6375E-03,+2.9868439E+00
+420.0E-06,+1.9834487E+00,+202.5801E-03,-311.8720E-03
+430.0E-06,+2.0100502E+00,+201.5428E-03,-311.8720E-03
+440.0E-06,+2.0755612E+00,+201.2500E-03,-475.6494E-03
+450.0E-06,+2.0904522E+00,+197.2299E-03,-512.8770E-03
+460.0E-06,+2.0904522E+00,+212.1094E-03,-311.8720E-03
+470.0E-06,+2.1708542E+00,+209.2902E-03,-311.8720E-03
+480.0E-06,+2.1708542E+00,+205.2701E-03,-311.8720E-03
+490.0E-06,+2.2130358E+00,+201.2500E-03,-311.8720E-03
+500.0E-06,+2.2512563E+00,+201.2500E-03,+2.9577965E+00
+510.0E-06,+2.2512563E+00,+213.3103E-03,+3.1052135E+00
+520.0E-06,+2.3316583E+00,+208.2873E-03,-362.0154E-03
+530.0E-06,+2.3316583E+00,+205.2701E-03,-311.8720E-03
+540.0E-06,+2.3932082E+00,+201.2500E-03,-311.8720E-03
+550.0E-06,+2.4120603E+00,+197.3246E-03,-316.6075E-03
+560.0E-06,+2.4347008E+00,+213.3103E-03,-311.8720E-03
+570.0E-06,+2.4924623E+00,+207.4394E-03,-311.8720E-03
+580.0E-06,+2.5087312E+00,+205.2701E-03,-311.8720E-03
+590.0E-06,+2.5728643E+00,+201.2500E-03,-311.8720E-03
+600.0E-06,+2.5476406E+00,+201.2500E-03,+3.1052135E+00
+610.0E-06,+2.6532663E+00,+213.3103E-03,+3.1052135E+00
+620.0E-06,+2.6532663E+00,+208.6059E-03,-311.8720E-03
+630.0E-06,+2.6532663E+00,+205.2701E-03,-311.8720E-03
+640.0E-06,+2.7058615E+00,+201.2500E-03,-311.8720E-03
+650.0E-06,+2.7336683E+00,+199.6576E-03,-311.8720E-03
+660.0E-06,+2.7447709E+00,+212.7552E-03,-311.8720E-03
+670.0E-06,+2.8140703E+00,+205.7523E-03,-311.8720E-03
+680.0E-06,+2.8444603E+00,+202.7695E-03,-311.8720E-03
+690.0E-06,+2.8944723E+00,+201.2500E-03,-439.7127E-03
+700.0E-06,+2.8944723E+00,+200.8240E-03,+3.0839149E+00
+710.0E-06,+2.8944723E+00,+213.3103E-03,+3.1052135E+00
+720.0E-06,+2.9748743E+00,+207.6415E-03,-394.3048E-03
+730.0E-06,+2.9748743E+00,+201.2500E-03,-245.1655E-03
+740.0E-06,+3.0493401E+00,+200.9532E-03,-311.8720E-03
+750.0E-06,+3.0404663E+00,+197.2299E-03,-311.8720E-03
+760.0E-06,+3.0552763E+00,+211.5325E-03,-400.7627E-03
+770.0E-06,+3.1356784E+00,+209.2902E-03,-311.8720E-03
+780.0E-06,+3.1356784E+00,+205.2701E-03,-311.8720E-03
+790.0E-06,+3.1530715E+00,+201.2500E-03,+3.1052135E+00
+800.0E-06,+3.2160804E+00,+199.3430E-03,+3.1052135E+00
+810.0E-06,+3.2160804E+00,+213.3103E-03,+2.9579991E+00
+820.0E-06,+3.2168503E+00,+209.2902E-03,-311.8720E-03
+830.0E-06,+3.2964824E+00,+205.2701E-03,-311.8720E-03
+840.0E-06,+3.3361618E+00,+199.2139E-03,-311.8720E-03
+850.0E-06,+3.3768844E+00,+197.2299E-03,-311.8720E-03
+860.0E-06,+3.3768844E+00,+213.3103E-03,-508.3441E-03
+870.0E-06,+3.4347269E+00,+209.2902E-03,-311.8720E-03
+880.0E-06,+3.4572864E+00,+205.2701E-03,-311.8720E-03
+890.0E-06,+3.4572864E+00,+201.2500E-03,-311.8720E-03
+900.0E-06,+3.4572864E+00,+197.2299E-03,+3.0942226E+00
+910.0E-06,+3.5376884E+00,+213.3103E-03,+3.1052135E+00
+920.0E-06,+3.5835773E+00,+211.0159E-03,-311.8720E-03
+930.0E-06,+3.6180904E+00,+205.2701E-03,-311.8720E-03
+940.0E-06,+3.6180904E+00,+201.2500E-03,-311.8720E-03
+950.0E-06,+3.6984924E+00,+199.8637E-03,-311.8720E-03
+960.0E-06,+3.6984924E+00,+209.2902E-03,-311.8720E-03
+970.0E-06,+3.6984924E+00,+205.2701E-03,-311.8720E-03
+980.0E-06,+3.7788944E+00,+197.2299E-03,-311.8720E-03
+990.0E-06,+3.7788944E+00,+197.2299E-03,+3.1052135E+00
+1.0000E-03,+3.7788944E+00,+193.2098E-03,+2.9042085E+00
+1.0100E-03,+3.8506959E+00,+205.2701E-03,+3.1052135E+00
